立法院代碼,法務部代碼,法律名稱,舊名稱,法務部分類
04101000,A0000001,中華民國憲法,憲法,憲法
04105000,A0000002,中華民國憲法增修條文,,憲法
04103000,A0000003,憲法實施之準備程序,,憲法
04104000,A0000004,訓政結束程序法,,憲法
04102000,A0000005,動員戡亂時期臨時條款,,廢止法規＞憲法
01833000,A0000007,戒嚴時期人民受損權利回復條例,長期或戒嚴結束後人民權益保障條例,行政＞法務部＞法制目
01210000,A0000009,中華民國領海及鄰接區法,"領海及鄰接區法,中華民國海域法",行政＞內政部＞地政目
01263000,A0000010,中華民國專屬經濟海域及大陸礁層法,,行政＞內政部＞地政目
04576000,F0120018,戒嚴時期不當叛亂暨匪諜審判案件補償條例,戒嚴時期不當政治審判補償條例,行政＞國防部＞軍法目
,A0000012,民國八十八年九月二十五日總統緊急命令（九二一震災）,,憲法
04201000,A0010001,國民大會組織法,,國民大會（憲法國民大會章條文已停止適用）
04301000,A0010012,中華民國總統府組織法,總統府組織法,總統＞總統府＞組織目
04302000,A0010013,國策顧問委員會組織條例,,廢止法規＞總統府
04303000,A0010014,戰略顧問委員會組織條例,,廢止法規＞總統府
04305000,A0010015,稽勳委員會組織條例,,廢止法規＞總統府
04306000,A0010016,中央研究院組織法,國立中央研究院組織法,總統＞總統府＞組織目
04309000,A0010017,國史館組織條例,,總統＞總統府＞組織目
04310000,A0010018,國父陵園管理委員會組織條例,,總統＞總統府＞組織目
04307000,A0010021,國家安全會議組織法,,總統＞國家安全會議＞組織目
04317000,A0010022,國家安全局組織法,,總統＞國家安全會議＞組織目
01764000,A0010026,國史館臺灣文獻館組織條例,國史館台灣文獻局組織條例,總統＞總統府＞組織目
01010000,A0010032,行政院組織法,,行政＞院本部＞組織目
01046000,D0000123,行政院原住民族委員會組織條例,"行政院原住民委員會組織條例;原住民委員會組織條例,行政院原住民委員會組織條例,原住民族委員會組織法",廢止法規＞原住民族委員會
01040000,A0010037,行政院公共工程委員會組織條例,,行政＞行政院公共工程委員會＞組織目
01032000,A0010039,行政院經濟建設委員會組織條例,,廢止法規＞國家發展委員會
01049000,H0000052,行政院體育委員會組織條例,,廢止法規＞教育部
01054000,D0000129,行政院客家委員會組織條例,"行政院客家事務委員會組織條例,行政院客家族群事務委員會組織條例,客家委員會組織法",廢止法規＞客家委員會
01059000,A0010042,檔案管理局組織條例,國家檔案局組織條例,廢止法規＞國家發展委員會
01056000,D0000128,行政院原住民族委員會文化園區管理局組織條例,行政院原住民委員會文化園區管理局組織條例,行政＞原住民族委員會＞組織目
04402000,A0010043,立法院各委員會組織法,,立法
04401000,A0010044,立法院組織法,,立法
04501000,A0010051,司法院組織法,,司法＞院本部＞組織目
04502000,A0010053,法院組織法,,司法＞院本部＞組織目
04503000,A0010054,最高法院設置分庭條例,,司法＞院本部＞組織目
04504000,A0010055,行政法院組織法,,司法＞院本部＞組織目
04505000,A0010056,懲戒法院組織法,公務員懲戒委員會組織法;中央公務員懲戒委員會組織法,司法＞院本部＞組織目
04570000,A0010058,法官學院組織法,司法院司法人員研習所組織條例,司法＞院本部＞組織目
04601000,A0010063,考試院組織法,,"考試＞院本部＞組織目  "
04604000,A0010064,考銓處組織條例,,"考試＞院本部＞組織目  "
04701000,A0010071,監察院組織法,,監察＞院本部＞組織目
04702000,A0010072,監察院各委員會組織法,,監察＞院本部＞組織目
04703000,A0010073,監察院監察委員行署組織條例,監察委員行署組織條例,監察＞院本部＞組織目
04311000,A0020001,總統副總統選舉罷免法,,廢止法規＞內政部
04210000,A0020002,國民大會同意權行使法,國民大會行使同意權程序法,國民大會（憲法國民大會章條文已停止適用）
04209000,A0020003,國民大會代表報酬及費用支給條例,,廢止法規＞國民大會（憲法國民大會章條文已停止適用）
09440002,A0020057,立法院各委員會辦事通則,,廢止法規＞立法
04414000,A0020058,立法院職權行使法,,立法
02309000,A0020062,中央政府預算執行暫行條例,"中央政府預算暫行條例,中華民國八十四年度中央政府總預算執行條例",廢止法規＞行政院主計處
04412000,A0020064,立法委員行為法,"立法委員倫理法,立法委員基準法,立法委員行為規範法,國會議員行為規範法,立法院倫理法",立法
04312000,A0030001,總統副總統宣誓條例,,行政＞內政部＞民政目
04313000,A0030002,卸任總統副總統禮遇條例,"卸任總統禮遇條例;卸任總統禮遇條例,卸任總統優遇條例",行政＞內政部＞民政目
01111000,A0030004,褒揚條例,,行政＞內政部＞民政目
04315000,A0030006,勳章條例,,行政＞內政部＞民政目
04314000,A0030011,印信條例,國民政府頒發印信條例,行政＞院本部＞通用目
